population,treatment,mean time EB,mean time WT,prop difference e/wt
1,SA,6.597672,6.664052,0.990039093
2,SA,6.115304,6.251153,0.978268169
3,SA,6.458078,6.690421,0.96527229
4,SA,6.72491,6.625009,1.015079376
5,SA,6.568203,6.392142,1.027543349
6,control,6.449468,6.392142,1.008968199
7,control,6.685325,6.783862,0.985474793
8,control,6.577333,6.515151,1.009544215
9,control,6.515058,6.88566,0.946177708
10,control,6.424831,6.727143,0.955060863
