vial,block,treat,pop,eeF_mod,eeM_mod,WTF_mod,WTM_mod,totF_mod,totM_mod,totee_mod,totWT_mod,total_mod
B2:83,2,1,6,10.46938776,11.11538462,11.43478261,11.56470588,11.03389831,11.39416058,10.8019802,11.50649351,11.11538462
B2:84,2,2,1,11.07843137,12.13253012,9.901960784,11.28169014,10.49019608,11.74025974,11.73134328,10.70491803,12.13253012
B2:85,2,1,6,10.67741935,11.48,9.901960784,10.83783784,10.32743363,11.20689655,11.03571429,10.29545455,11.48
B2:86,2,1,7,12.18367347,11.5,10.63333333,11.4,11.59493671,11.45454545,11.89411765,11.01666667,11.5
B2:87,2,1,7,11.7012987,12,11.37333333,12.29411765,11.53947368,12.20325203,11.8,11.8625,12
B2:88,2,1,7,11.51162791,11.54166667,10.94871795,11.18181818,11.24390244,11.39506173,11.52747253,11.05555556,11.54166667
B2:89,2,1,7,11.29213483,8.569230769,10.03296703,11.075,10.65555556,9.951724138,10.14285714,10.52046784,8.569230769
B2:90,2,1,7,10.55555556,10.38461538,11.48484848,11.24390244,11.10810811,10.76344086,10.46391753,11.39252336,10.38461538
B2:91,2,1,7,8.470588235,8.111111111,9.666666667,7.5,8.836734694,7.823529412,8.346153846,8.548387097,8.111111111
B2:92,2,1,7,11.78195489,10.58241758,10.8989899,10.51111111,11.40517241,10.54696133,11.29464286,10.71428571,10.58241758
B2:93,2,1,7,10.08571429,9.571428571,6.2,8.578947368,9.222222222,9.170212766,9.857142857,7.75862069,9.571428571
B2:94,2,1,7,7.896551724,10.63265306,8.9375,7.72,8.442622951,9.648648649,9.615384615,8.403508772,10.63265306
B2:95,2,2,1,11.09302326,12.66037736,9.388888889,10.52112676,10.3164557,11.43548387,11.95833333,10.14018692,12.66037736
B2:96,2,1,7,12.52941176,12.41463415,12.5412844,11.98734177,12.5375,12.20496894,12.45864662,12.30851064,12.41463415
B2:97,2,1,8,10.93548387,11.62745098,11.51612903,12.33333333,11.22580645,11.93333333,11.36585366,11.97142857,11.62745098
B2:98,2,1,8,8.548387097,10.83783784,10.90243902,11.19607843,9.888888889,11.04545455,9.794117647,11.06521739,10.83783784
B2:99,2,1,8,10,9.916666667,9.818181818,11.12765957,9.88,10.51578947,9.951219512,10.36283186,9.916666667
B2:100,2,1,8,7.842105263,9.894736842,9.512820513,9.666666667,8.965517241,9.821428571,9.210526316,9.561403509,9.894736842
B2:101,2,1,8,10,7.214285714,9.888888889,10.3968254,9.941176471,9.417582418,8.852941176,10.18518519,7.214285714
B2:102,2,1,8,10.07317073,10.57647059,10.1372549,9.518518519,10.10869565,10.16546763,10.41269841,9.819047619,10.57647059
B2:103,2,1,8,10.03030303,9.928571429,11.025,11.4,10.57534247,10.65765766,9.983606557,11.17777778,9.928571429
B2:104,2,1,8,8.8,10.66666667,11.53333333,9.666666667,9.971428571,10.33333333,9.684210526,10.83333333,10.66666667
B2:105,2,1,8,10.23076923,10.5,9.315789474,9.833333333,9.6875,10.13636364,10.39393939,9.604651163,10.5
B2:106,2,2,1,10.87234043,12.15384615,10.43589744,10.89285714,10.6744186,11.29268293,11.32876712,10.70526316,12.15384615
B2:107,2,1,8,11.21428571,10.52,9.5,11.97297297,10.5,11.38709677,10.88679245,11.10526316,10.52
B2:108,2,1,8,9.941176471,11,9.216216216,12.33333333,9.444444444,11.81632653,10.5,10.6119403,11
B2:109,2,1,8,10.75,11,10.78947368,10.95238095,10.76271186,10.96551724,10.82142857,10.90163934,11
B2:110,2,1,9,11.62068966,11.05555556,10.48717949,11.18181818,11.16494845,11.11023622,11.30769231,10.89361702,11.05555556
B2:111,2,1,9,9.875,6.2,8.666666667,5.631578947,9.357142857,6,7.955223881,7.325581395,6.2
