day,treatment,population,vial,success male,time
5,SA,5,2,WT,909.85
5,SA,5,3,E,598.9
5,SA,5,4,WT,1200.95
5,control,6,1,E,411
5,control,6,2,WT,528.05
5,control,6,3,WT,1194.1
5,control,6,4,E,1061.15
5,control,7,1,E,800.2
5,control,7,2,E,858.25
5,control,7,3,WT,1279.3
5,control,7,4,E,2605.35
5,control,8,1,E,623.4
5,control,8,2,WT,1646.45
5,control,8,3,WT,890.5
5,control,8,4,WT,610.55
5,control,9,1,E,909.6
5,control,9,2,E,868.65
5,control,9,3,E,492.7
5,control,9,4,WT,1066.75
5,control,10,1,E,480.8
5,control,10,2,E,1143.85
5,control,10,3,WT,969.9
5,control,10,4,WT,1402.95
6,SA,1,1,E,2023
6,SA,1,2,WT,813.875
6,SA,1,3,E,1308.75
6,SA,1,4,WT,497.625
6,SA,2,1,WT,530.5
6,SA,2,2,WT,394.375
6,SA,2,3,E,798.25
6,SA,2,4,WT,472.125
6,SA,3,1,WT,631
6,SA,3,2,E,955.875
6,SA,3,3,E,1042.75
6,SA,3,4,WT,1400.625
6,SA,4,1,WT,1410.5
6,SA,4,2,WT,609.375
6,SA,4,3,WT,507.25
6,SA,4,4,WT,898.125
6,SA,5,1,E,602
6,SA,5,2,WT,576.875
6,SA,5,3,WT,634.75
6,SA,5,4,WT,358.625
6,control,6,1,WT,548.5
6,control,6,2,WT,546.375
6,control,6,3,WT,700.25
6,control,6,4,WT,929.125
6,control,7,1,E,903
6,control,7,2,WT,811.875
6,control,7,3,WT,302.75
6,control,7,4,WT,1509.625
6,control,8,1,WT,918.5
6,control,8,2,E,907.375
6,control,8,3,E,1540.25
6,control,8,4,E,2618.125
6,control,9,1,E,448
6,control,9,2,E,882.875
6,control,9,3,E,1820.75
6,control,9,4,WT,1320.625
6,control,10,1,E,528.5
6,control,10,2,E,858.375
6,control,10,3,WT,557.25
6,control,10,4,WT,1400.125
