Day,treatment,population,phenotype,vial,eggs1
2,selected,3,WT,7,6
2,selected,3,WT,8,1
2,selected,3,WT,9,0
2,selected,4,WT,1,0
2,selected,4,WT,2,0
2,selected,4,WT,3,6
2,selected,4,WT,4,12
2,selected,4,WT,5,3
2,selected,4,WT,6,1
2,selected,4,WT,7,6
2,selected,4,WT,8,2
2,selected,4,WT,9,28
2,selected,5,WT,1,1
2,selected,5,WT,2,0
2,selected,5,WT,3,0
2,selected,5,WT,4,0
2,selected,5,WT,5,2
2,selected,5,WT,6,0
2,selected,5,WT,7,4
2,selected,5,WT,8,5
2,selected,5,WT,9,0
2,control,6,WT,1,13
2,control,6,WT,2,1
2,control,6,WT,3,1
2,control,6,WT,4,0
2,control,6,WT,5,7
2,control,6,WT,6,3
2,control,6,WT,7,5
2,control,6,WT,8,5
2,control,6,WT,9,5
2,control,7,WT,1,4
2,control,7,WT,2,6
2,control,7,WT,3,7
2,control,7,WT,4,2
2,control,7,WT,5,20
2,control,7,WT,6,1
2,control,7,WT,7,11
2,control,7,WT,8,0
2,control,7,WT,9,0
2,control,8,WT,1,2
2,control,8,WT,2,3
2,control,8,WT,3,0
2,control,8,WT,4,4
2,control,8,WT,5,4
2,control,8,WT,6,8
2,control,8,WT,7,0
2,control,8,WT,8,0
2,control,8,WT,9,18
2,control,9,WT,1,1
2,control,9,WT,2,7
2,control,9,WT,3,2
2,control,9,WT,4,1
2,control,9,WT,5,23
2,control,9,WT,6,0
2,control,9,WT,7,2
2,control,9,WT,8,1
2,control,9,WT,9,3
2,control,10,WT,1,2
2,control,10,WT,2,0
2,control,10,WT,3,2
2,control,10,WT,4,4
2,control,10,WT,5,5
2,control,10,WT,6,0
2,control,10,WT,7,3
2,control,10,WT,8,1
2,control,10,WT,9,0
2,selected,1,EB,1,10
2,selected,1,EB,2,3
2,selected,1,EB,3,33
2,selected,1,EB,4,27
2,selected,1,EB,5,25
2,selected,1,EB,6,10
2,selected,1,EB,7,4
2,selected,1,EB,8,0
2,selected,1,EB,9,19
2,selected,2,EB,1,5
2,selected,2,EB,2,15
2,selected,2,EB,3,13
2,selected,2,EB,4,10
2,selected,2,EB,5,19
2,selected,2,EB,6,4
2,selected,2,EB,7,7
2,selected,2,EB,8,23
2,selected,2,EB,9,11
2,selected,3,EB,1,8
2,selected,3,EB,2,13
2,selected,3,EB,3,21
2,selected,3,EB,4,26
2,selected,3,EB,5,8
2,selected,3,EB,6,17
2,selected,3,EB,7,5
2,selected,3,EB,8,30
2,selected,3,EB,9,20
2,selected,4,EB,1,15
2,selected,4,EB,2,1
2,selected,4,EB,3,10
2,selected,4,EB,4,3
2,selected,4,EB,5,17
2,selected,4,EB,6,3
2,selected,4,EB,7,11
2,selected,4,EB,8,23
2,selected,4,EB,9,4
2,selected,5,EB,1,4
2,selected,5,EB,2,3
2,selected,5,EB,3,8
2,selected,5,EB,4,18
2,selected,5,EB,5,1
2,selected,5,EB,6,9
2,selected,5,EB,7,0
2,selected,5,EB,8,6
2,selected,5,EB,9,8
2,control,6,EB,1,2
2,control,6,EB,2,7
2,control,6,EB,3,15
2,control,6,EB,4,10
2,control,6,EB,5,3
2,control,6,EB,6,8
2,control,6,EB,7,2
2,control,6,EB,8,15
2,control,6,EB,9,7
2,control,7,EB,1,1
2,control,7,EB,2,8
2,control,7,EB,3,13
2,control,7,EB,4,1
2,control,7,EB,5,2
2,control,7,EB,6,12
2,control,7,EB,7,9
2,control,7,EB,8,19
2,control,7,EB,9,4
2,control,8,EB,1,12
2,control,8,EB,2,0
2,control,8,EB,3,8
2,control,8,EB,4,11
2,control,8,EB,5,17
2,control,8,EB,6,12
2,control,8,EB,7,1
2,control,8,EB,8,0
2,control,8,EB,9,12
2,control,9,EB,1,0
2,control,9,EB,2,4
2,control,9,EB,3,6
2,control,9,EB,4,14
2,control,9,EB,5,10
2,control,9,EB,6,1
2,control,9,EB,7,3
2,control,9,EB,8,2
2,control,9,EB,9,0
2,control,10,EB,1,0
2,control,10,EB,2,10
2,control,10,EB,3,1
2,control,10,EB,4,14
2,control,10,EB,5,34
2,control,10,EB,6,8
2,control,10,EB,7,3
2,control,10,EB,8,0
2,control,10,EB,9,5
